ID,D,T,AtmPr,WindD,WindS,Gust,WaveH,WaveP,WaveD,Hmax,AirT,SeaT,Hum,Code
A2,54,18,1002.869,232,13.206,16.053,0.859,3.867,236,1.25,10.508,9.12,81.738,0.0
A2,54,19,1002.295,228,18.785,22.314,1.094,4.102,229,1.406,10.41,9.15,84.375,0.0
A2,54,20,1001.685,238,16.622,22.997,1.25,4.219,232,1.875,10.264,9.122,86.816,0.0
A2,54,21,1000.781,233,11.499,15.711,1.172,3.984,229,1.719,10.215,9.093,85.254,0.0
A2,54,22,999.622,234,12.865,19.696,1.094,3.867,225,1.563,10.361,9.131,83.789,0.0
A2,54,23,998.499,253,18.671,27.21,1.328,3.867,201,2.188,10.459,9.088,77.734,0.0
A2,55,0,997.803,239,14.117,17.988,1.563,4.102,200,2.5,10.264,9.073,79.102,0.0
A2,55,1,996.875,246,16.736,23.225,1.406,3.984,201,1.875,10.215,9.093,76.465,0.0
A2,55,2,996.24,247,17.988,25.843,1.484,4.219,232,1.875,9.727,9.104,78.027,0.0
A2,55,3,995.764,257,15.939,22.997,1.484,3.984,226,2.656,9.287,9.102,79.688,0.0
A2,55,4,995.178,253,19.013,23.68,1.25,4.102,224,1.875,9.141,9.084,76.465,0.0
A2,55,5,994.275,240,19.126,23.453,1.25,4.453,219,1.875,9.189,9.06,75.684,0.0
A2,55,6,993.884,235,23.566,28.917,1.25,4.453,215,1.563,8.799,9.086,78.613,0.0
A2,55,7,993.115,223,16.963,22.428,1.25,4.57,200,1.719,8.311,9.111,80.664,0.0
A2,55,8,992.273,222,16.849,21.631,1.172,4.453,197,1.719,8.604,9.095,78.223,0.0
A2,55,9,991.455,239,17.76,23.68,1.172,4.102,201,1.719,8.604,9.084,76.953,0.0
A2,55,10,990.723,247,17.874,24.477,1.25,3.984,198,2.031,8.945,9.131,76.27,0.0
A2,55,11,989.966,242,16.166,22.883,1.25,3.984,210,1.719,9.385,9.128,73.535,0.0
